gene_symbol,n_features,features,n_feature_IDs,n_omes,omes,n_tissues,tissues
Hspe1,7,PROT;SKM-GN;NP_037098.1|PROT;HEART;NP_037098.1|PROT;KIDNEY;NP_037098.1|PROT;LUNG;NP_037098.1|PROT;LIVER;NP_037098.1|PROT;WAT-SC;NP_037098.1|PHOSPHO;LIVER;NP_037098.1_S51s,2,2,"PHOSPHO,PROT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Gucy1a2,10,PHOSPHO;HEART;NP_076446.1_S74s|ATAC;SKM-GN;chr8:181225-181460|ATAC;LUNG;chr8:181225-181460|ATAC;LIVER;chr8:181225-181460|ATAC;SKM-GN;chr8:181479-181692|ATAC;KIDNEY;chr8:181479-181692|ATAC;LUNG;chr8:181479-181692|ATAC;LIVER;chr8:181479-181692|ATAC;SKM-GN;chr8:181749-182293|ATAC;WAT-SC;chr8:181749-182293,4,2,"ATAC,PHOSPHO",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Hsp90aa1,18,PROT;SKM-GN;NP_786937.1|PROT;HEART;NP_786937.1|PROT;KIDNEY;NP_786937.1|PROT;LUNG;NP_786937.1|PROT;LIVER;NP_786937.1|PROT;WAT-SC;NP_786937.1|PHOSPHO;HEART;NP_786937.1_S231s|PHOSPHO;KIDNEY;NP_786937.1_S231s|PHOSPHO;KIDNEY;NP_786937.1_S252sS263s|PHOSPHO;LIVER;NP_786937.1_S252sS263s|PHOSPHO;SKM-GN;NP_786937.1_S263s|PHOSPHO;HEART;NP_786937.1_S263s|PHOSPHO;KIDNEY;NP_786937.1_S263s|PHOSPHO;LIVER;NP_786937.1_S263s|PHOSPHO;HEART;NP_786937.1_S454s|PHOSPHO;LIVER;NP_786937.1_S454s|PHOSPHO;HEART;NP_786937.1_S477s|PHOSPHO;LIVER;NP_786937.1_T318t,7,2,"PHOSPHO,PROT",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Cobll1,12,PHOSPHO;LUNG;XP_006234366.1_S288sT292t|PHOSPHO;WAT-SC;XP_006234366.1_S288sT292t|PHOSPHO;SKM-GN;XP_006234366.1_S905s|PHOSPHO;LUNG;XP_008760157.1_S329sT333t|PHOSPHO;WAT-SC;XP_008760157.1_S329sT333t|PHOSPHO;SKM-GN;XP_008760157.1_S976s|PHOSPHO;LIVER;XP_017447649.1_S1058s|PHOSPHO;LIVER;XP_017447649.1_S1085s|PHOSPHO;HEART;XP_017447649.1_S288sT292t|PHOSPHO;LIVER;XP_017447649.1_T316t|PHOSPHO;LIVER;XP_017447649.1_T857t|ATAC;KIDNEY;chr3:51297222-51298920,10,2,"ATAC,PHOSPHO",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
U6,59,METHYL;WAT-SC;chr1-107919_cluster1|METHYL;LIVER;chr1-94750_cluster3|METHYL;WAT-SC;chr10-222249_cluster2|ATAC;SKM-GN;chr13:45859591-45860268|METHYL;KIDNEY;chr14-95352_cluster1|METHYL;KIDNEY;chr14-95352_cluster2|METHYL;HEART;chr14-95352_cluster3|METHYL;KIDNEY;chr14-95352_cluster3|METHYL;LUNG;chr14-95352_cluster3|METHYL;LIVER;chr14-95352_cluster3|METHYL;SKM-GN;chr14-95352_cluster4|METHYL;HEART;chr14-95352_cluster4|METHYL;LUNG;chr14-95352_cluster4|METHYL;SKM-GN;chr14-95352_cluster5|METHYL;KIDNEY;chr14-95352_cluster5|METHYL;LUNG;chr14-95352_cluster5|METHYL;LIVER;chr14-95352_cluster5|METHYL;LUNG;chr14-95352_cluster6|METHYL;SKM-GN;chr14-95352_cluster7|METHYL;SKM-GN;chr14-95352_cluster8|ATAC;LIVER;chr14:82312428-82313949|ATAC;LUNG;chr14:82317975-82319616|ATAC;SKM-GN;chr15:101579022-101579761|ATAC;LIVER;chr15:85226638-85228304|ATAC;SKM-GN;chr17:33007129-33007851|ATAC;SKM-GN;chr17:33007982-33008660|ATAC;LIVER;chr18:56770139-56771174|ATAC;KIDNEY;chr1:13568754-13569485|METHYL;WAT-SC;chr20-27958_cluster2|ATAC;LIVER;chr2:180896127-180896496|ATAC;LIVER;chr2:180896504-180896894|METHYL;WAT-SC;chr5-303740|ATAC;LIVER;chr5:5496334-5497939|ATAC;KIDNEY;chr5:93365057-93366428|ATAC;LIVER;chr5:93365057-93366428|METHYL;WAT-SC;chr6-186249_cluster1|METHYL;WAT-SC;chr7-242192_cluster1|METHYL;WAT-SC;chr8-135963_cluster2|ATAC;LIVER;chr8:41664466-41664683|ATAC;LIVER;chr8:41664836-41665100|ATAC;LIVER;chr8:41665400-41665662|ATAC;LIVER;chr8:41671828-41672082|ATAC;LIVER;chr8:41672126-41672751|ATAC;LIVER;chr8:41672964-41673182|ATAC;LIVER;chr8:41673442-41673899|ATAC;LIVER;chr8:41673916-41674156|ATAC;LIVER;chr8:41674195-41674460|ATAC;LIVER;chr8:41674642-41674886|ATAC;LIVER;chr8:41674947-41675318|ATAC;KIDNEY;chr8:85565234-85566459|ATAC;SKM-GN;chr8:87020494-87020857|ATAC;SKM-GN;chr9:40513820-40514668|ATAC;SKM-GN;chr9:40517074-40518416|ATAC;LUNG;chr9:40517074-40518416|ATAC;LIVER;chr9:40517074-40518416|ATAC;SKM-GN;chr9:40522201-40522801|ATAC;HEART;chr9:40522201-40522801|ATAC;LIVER;chr9:40522201-40522801|ATAC;SKM-GN;chr9:40523958-40524541,46,2,"ATAC,METHYL",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
5S_rRNA,22,METHYL;SKM-GN;chr11-116811_cluster2|METHYL;KIDNEY;chr11-116811_cluster2|METHYL;LUNG;chr11-116811_cluster2|METHYL;LIVER;chr11-116811_cluster2|METHYL;WAT-SC;chr11-116811_cluster2|METHYL;LUNG;chr12-15289_cluster19|ATAC;SKM-GN;chr19:56336363-56336579|ATAC;LUNG;chr19:56336363-56336579|ATAC;SKM-GN;chr19:56337801-56338160|ATAC;HEART;chr19:56337801-56338160|ATAC;LUNG;chr19:56337801-56338160|ATAC;LIVER;chr19:56337801-56338160|ATAC;SKM-GN;chr19:56338251-56339341|ATAC;HEART;chr19:56338251-56339341|ATAC;KIDNEY;chr19:56338251-56339341|ATAC;LUNG;chr19:56338251-56339341|ATAC;LIVER;chr19:56338251-56339341|ATAC;WAT-SC;chr19:56338251-56339341|ATAC;LIVER;chr1:177903558-177903939|METHYL;WAT-SC;chr20-93217_cluster1|ATAC;LIVER;chr3:139333575-139334627|METHYL;WAT-SC;chr7-155169_cluster3,9,2,"ATAC,METHYL",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
5_8S_rRNA,125,METHYL;SKM-GN;chr12-657_cluster1|METHYL;HEART;chr12-657_cluster1|METHYL;KIDNEY;chr12-657_cluster1|METHYL;LIVER;chr12-657_cluster1|METHYL;WAT-SC;chr12-657_cluster1|METHYL;HEART;chr12-657_cluster2|METHYL;LUNG;chr12-657_cluster2|METHYL;SKM-GN;chr12-658_cluster1|METHYL;KIDNEY;chr12-658_cluster1|METHYL;LUNG;chr12-658_cluster1|METHYL;WAT-SC;chr12-658_cluster1|METHYL;HEART;chr12-658_cluster2|METHYL;SKM-GN;chr12-691_cluster1|METHYL;KIDNEY;chr18-93828_cluster5|ATAC;SKM-GN;chr1:11971379-11971844|ATAC;KIDNEY;chr1:11971379-11971844|ATAC;LUNG;chr1:11971379-11971844|METHYL;WAT-SC;chr2-1564_cluster1|METHYL;LIVER;chr2-246_cluster1|METHYL;HEART;chr2-246_cluster6|METHYL;LUNG;chr2-246_cluster7|METHYL;HEART;chr2-257634_cluster5|METHYL;KIDNEY;chr2-257635_cluster12|METHYL;LIVER;chr2-257635_cluster12|METHYL;KIDNEY;chr2-257635_cluster13|METHYL;LIVER;chr2-257635_cluster13|METHYL;HEART;chr2-257635_cluster14|METHYL;LIVER;chr2-257635_cluster14|METHYL;HEART;chr2-257635_cluster16|METHYL;KIDNEY;chr2-257635_cluster16|METHYL;LIVER;chr2-257635_cluster17|METHYL;HEART;chr2-257635_cluster18|METHYL;HEART;chr2-257635_cluster23|METHYL;KIDNEY;chr2-257635_cluster3|METHYL;LUNG;chr2-257635_cluster7|METHYL;LUNG;chr2-257635_cluster8|METHYL;KIDNEY;chr2-257635_cluster9|METHYL;SKM-GN;chr2-257636_cluster10|METHYL;WAT-SC;chr2-257636_cluster10|METHYL;HEART;chr2-257636_cluster6|METHYL;KIDNEY;chr2-257636_cluster6|METHYL;LUNG;chr2-257636_cluster6|METHYL;KIDNEY;chr2-257636_cluster7|METHYL;LIVER;chr2-257636_cluster7|METHYL;LIVER;chr2-257636_cluster8|METHYL;HEART;chr2-257637_cluster1|METHYL;KIDNEY;chr2-257637_cluster1|METHYL;LUNG;chr2-257637_cluster1|METHYL;LIVER;chr2-257637_cluster15|METHYL;LIVER;chr2-257637_cluster17|METHYL;SKM-GN;chr2-257637_cluster2|METHYL;HEART;chr2-257637_cluster2|METHYL;KIDNEY;chr2-257637_cluster2|METHYL;LUNG;chr2-257637_cluster2|METHYL;SKM-GN;chr2-257637_cluster3|METHYL;HEART;chr2-257637_cluster3|METHYL;KIDNEY;chr2-257637_cluster3|METHYL;KIDNEY;chr2-257637_cluster4|METHYL;WAT-SC;chr2-257637_cluster5|METHYL;LIVER;chr2-257637_cluster6|METHYL;LIVER;chr2-257637_cluster8|METHYL;KIDNEY;chr2-257638_cluster1|METHYL;WAT-SC;chr2-257638_cluster1|METHYL;KIDNEY;chr2-257638_cluster2|METHYL;LUNG;chr2-257638_cluster2|METHYL;SKM-GN;chr2-257638_cluster3|METHYL;KIDNEY;chr2-257638_cluster3|METHYL;LUNG;chr2-257638_cluster3|METHYL;LUNG;chr2-257638_cluster4|METHYL;HEART;chr2-257638_cluster6|METHYL;LIVER;chr2-257638_cluster7|METHYL;HEART;chr2-257639_cluster1|METHYL;LIVER;chr2-257639_cluster1|METHYL;HEART;chr2-257639_cluster2|METHYL;KIDNEY;chr2-257639_cluster2|METHYL;SKM-GN;chr2-257639_cluster4|METHYL;LUNG;chr2-323120_cluster5|METHYL;LIVER;chr2-323122_cluster1|METHYL;SKM-GN;chr2-323130_cluster1|METHYL;HEART;chr2-323130_cluster1|METHYL;KIDNEY;chr2-323130_cluster1|METHYL;LUNG;chr2-323130_cluster1|METHYL;HEART;chr2-323130_cluster2|METHYL;SKM-GN;chr2-323131_cluster1|METHYL;KIDNEY;chr2-323131_cluster1|METHYL;SKM-GN;chr2-323132_cluster1|METHYL;LUNG;chr20-112362_cluster4|METHYL;KIDNEY;chr4-333325_cluster33|METHYL;SKM-GN;chr4-333325_cluster38|METHYL;SKM-GN;chr4-333325_cluster41|METHYL;SKM-GN;chr4-333325_cluster42|METHYL;LIVER;chr4-333325_cluster42|METHYL;SKM-GN;chr4-333325_cluster43|METHYL;HEART;chr4-333325_cluster43|METHYL;LUNG;chr4-333325_cluster49|METHYL;SKM-GN;chr4-333326_cluster1|METHYL;SKM-GN;chr4-333327_cluster1|METHYL;KIDNEY;chr7-1423_cluster1|METHYL;WAT-SC;chr7-1423_cluster2|METHYL;SKM-GN;chr7-1423_cluster6|METHYL;SKM-GN;chr7-199045_cluster11|METHYL;KIDNEY;chr7-199045_cluster11|METHYL;LIVER;chr7-199045_cluster5|METHYL;LUNG;chr7-199045_cluster7|METHYL;LUNG;chr7-199047_cluster1|METHYL;KIDNEY;chr7-199047_cluster3|METHYL;HEART;chr7-199047_cluster4|METHYL;SKM-GN;chr7-199047_cluster5|METHYL;HEART;chr7-199047_cluster5|METHYL;LUNG;chr7-3250_cluster9|METHYL;KIDNEY;chr7-44110_cluster15|METHYL;LIVER;chr7-4434_cluster2|METHYL;KIDNEY;chr7-44905_cluster1|METHYL;SKM-GN;chr7-44908_cluster10|METHYL;KIDNEY;chr7-44908_cluster8|METHYL;LIVER;chr9-14934_cluster5|METHYL;HEART;chr9-14934_cluster7|ATAC;LIVER;chr9:7465618-7467391|ATAC;SKM-GN;chr9:7503022-7503856|METHYL;SKM-GN;chrX-291751_cluster1|METHYL;HEART;chrX-291751_cluster13|METHYL;KIDNEY;chrX-291751_cluster2|METHYL;LIVER;chrX-291751_cluster2|METHYL;LIVER;chrX-291751_cluster3|METHYL;KIDNEY;chrX-291751_cluster4,85,2,"ATAC,METHYL",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Zfp169,6,METHYL;SKM-GN;chr17-33040_cluster1|METHYL;HEART;chr17-33040_cluster1|METHYL;KIDNEY;chr17-33040_cluster1|METHYL;LUNG;chr17-33040_cluster1|METHYL;LIVER;chr17-33040_cluster1|METHYL;WAT-SC;chr17-33040_cluster1,1,1,METHYL,6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Fam13c,9,METHYL;HEART;chr20-38798_cluster11|METHYL;KIDNEY;chr20-38798_cluster7|ATAC;SKM-GN;chr20:19484105-19484442|ATAC;LUNG;chr20:19484105-19484442|ATAC;WAT-SC;chr20:19484105-19484442|ATAC;SKM-GN;chr20:19484482-19485076|ATAC;SKM-GN;chr20:19485596-19485830|ATAC;LUNG;chr20:19485596-19485830|ATAC;LIVER;chr20:19485596-19485830,5,2,"ATAC,METHYL",6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
AABR07060519.1,15,ATAC;HEART;chr4:77413928-77415655|ATAC;KIDNEY;chr4:77413928-77415655|ATAC;KIDNEY;chr4:77446331-77446586|ATAC;SKM-GN;chr4:77447694-77448597|ATAC;HEART;chr4:77447694-77448597|ATAC;KIDNEY;chr4:77447694-77448597|ATAC;LUNG;chr4:77447694-77448597|ATAC;LIVER;chr4:77447694-77448597|ATAC;WAT-SC;chr4:77447694-77448597|ATAC;KIDNEY;chr4:77450935-77451354|ATAC;LUNG;chr4:77450935-77451354|ATAC;LUNG;chr4:77451796-77452163|ATAC;SKM-GN;chr4:77452644-77453346|ATAC;HEART;chr4:77452644-77453346|ATAC;KIDNEY;chr4:77452644-77453346,6,1,ATAC,6,"HEART,KIDNEY,LIVER,LUNG,SKM-GN,WAT-SC"
Def6,6,TRNSCRPT;LUNG;ENSRNOG00000000502|METHYL;SKM-GN;chr20-15608_cluster2|METHYL;HEART;chr20-15608_cluster2|METHYL;KIDNEY;chr20-15608_cluster6|METHYL;WAT-SC;chr20-15608_cluster6|METHYL;KIDNEY;chr20-15608_cluster7,4,2,"METHYL,TRNSCRPT",5,"HEART,KIDNEY,LUNG,SKM-GN,WAT-SC"
Sqstm1,6,TRNSCRPT;SKM-GN;ENSRNOG00000003147|TRNSCRPT;HEART;ENSRNOG00000003147|PROT;WAT-SC;NP_787037.2|PHOSPHO;LIVER;NP_787037.2_S305s|PROT;HEART;NP_853528.1|PROT;KIDNEY;XP_006246276.1,5,3,"PHOSPHO,PROT,TRNSCRPT",5,"HEART,KIDNEY,LIVER,SKM-GN,WAT-SC"
Serpinf1,7,TRNSCRPT;KIDNEY;ENSRNOG00000003172|TRNSCRPT;WAT-SC;ENSRNOG00000003172|PROT;HEART;NP_808788.1|PROT;KIDNEY;NP_808788.1|PROT;LUNG;NP_808788.1|PROT;LIVER;NP_808788.1|PROT;WAT-SC;NP_808788.1,2,2,"PROT,TRNSCRPT",5,"HEART,KIDNEY,LIVER,LUNG,WAT-SC"
Decr1,7,TRNSCRPT;SKM-GN;ENSRNOG00000008236|TRNSCRPT;HEART;ENSRNOG00000008236|TRNSCRPT;KIDNEY;ENSRNOG00000008236|TRNSCRPT;WAT-SC;ENSRNOG00000008236|PROT;SKM-GN;NP_476545.2|PROT;HEART;NP_476545.2|PROT;LIVER;NP_476545.2,2,2,"PROT,TRNSCRPT",5,"HEART,KIDNEY,LIVER,SKM-GN,WAT-SC"
Serpina6,5,TRNSCRPT;LIVER;ENSRNOG00000009438|PROT;SKM-GN;NP_001009663.1|PROT;HEART;NP_001009663.1|PROT;LUNG;NP_001009663.1|PROT;WAT-SC;NP_001009663.1,2,2,"PROT,TRNSCRPT",5,"HEART,LIVER,LUNG,SKM-GN,WAT-SC"
Hadhb,6,TRNSCRPT;WAT-SC;ENSRNOG00000010800|PROT;SKM-GN;NP_598302.1|PROT;HEART;NP_598302.1|PROT;KIDNEY;NP_598302.1|PROT;LIVER;NP_598302.1|PHOSPHO;HEART;NP_598302.1_S345s,3,3,"PHOSPHO,PROT,TRNSCRPT",5,"HEART,KIDNEY,LIVER,SKM-GN,WAT-SC"
RGD1309534,5,TRNSCRPT;WAT-SC;ENSRNOG00000010887|PROT;SKM-GN;NP_001014228.1|PROT;HEART;NP_001014228.1|PROT;KIDNEY;NP_001014228.1|PROT;LIVER;NP_001014228.1,2,2,"PROT,TRNSCRPT",5,"HEART,KIDNEY,LIVER,SKM-GN,WAT-SC"
Tns1,15,TRNSCRPT;LUNG;ENSRNOG00000014182|PROT;HEART;NP_001178739.1|PHOSPHO;SKM-GN;NP_001178739.1_S1416s|PHOSPHO;SKM-GN;NP_001178739.1_S1482sS1487s|PHOSPHO;LIVER;NP_001178739.1_S1544s|PHOSPHO;SKM-GN;NP_001178739.1_S1762s|PHOSPHO;LIVER;NP_001178739.1_S547s|PHOSPHO;LUNG;NP_001178739.1_S563sT565t|PHOSPHO;LIVER;NP_001178739.1_S638s|PHOSPHO;LUNG;XP_008765442.1_S563sT565t|METHYL;SKM-GN;chr9-162598_cluster1|ATAC;SKM-GN;chr9:81209534-81210482|ATAC;SKM-GN;chr9:81286182-81286727|ATAC;KIDNEY;chr9:81333504-81334813|ATAC;KIDNEY;chr9:81400603-81402226,15,5,"ATAC,METHYL,PHOSPHO,PROT,TRNSCRPT",5,"HEART,KIDNEY,LIVER,LUNG,SKM-GN"
Snx20,18,TRNSCRPT;WAT-SC;ENSRNOG00000014202|METHYL;WAT-SC;chr19-38808_cluster10|METHYL;HEART;chr19-38808_cluster12|METHYL;HEART;chr19-38808_cluster13|METHYL;HEART;chr19-38808_cluster14|METHYL;LUNG;chr19-38808_cluster16|METHYL;HEART;chr19-38808_cluster17|METHYL;LUNG;chr19-38808_cluster23|METHYL;LUNG;chr19-38808_cluster26|METHYL;LUNG;chr19-38808_cluster28|METHYL;SKM-GN;chr19-38808_cluster30|METHYL;WAT-SC;chr19-38808_cluster7|METHYL;WAT-SC;chr19-38808_cluster8|METHYL;KIDNEY;chr19-38809_cluster1|METHYL;LUNG;chr19-38809_cluster12|METHYL;WAT-SC;chr19-38809_cluster15|METHYL;LUNG;chr19-38809_cluster22|METHYL;HEART;chr19-38809_cluster9,18,2,"METHYL,TRNSCRPT",5,"HEART,KIDNEY,LUNG,SKM-GN,WAT-SC"
Eef2k,6,TRNSCRPT;SKM-GN;ENSRNOG00000016448|TRNSCRPT;LUNG;ENSRNOG00000016448|TRNSCRPT;WAT-SC;ENSRNOG00000016448|PROT;HEART;NP_037079.1|PHOSPHO;SKM-GN;NP_037079.1_S395s|PHOSPHO;LIVER;NP_037079.1_S473s,4,3,"PHOSPHO,PROT,TRNSCRPT",5,"HEART,LIVER,LUNG,SKM-GN,WAT-SC"
Ripor1,5,TRNSCRPT;WAT-SC;ENSRNOG00000017604|METHYL;SKM-GN;chr19-75119_cluster2|METHYL;HEART;chr19-75119_cluster2|METHYL;LUNG;chr19-75119_cluster2|METHYL;LIVER;chr19-75119_cluster2,2,2,"METHYL,TRNSCRPT",5,"HEART,LIVER,LUNG,SKM-GN,WAT-SC"
Crat,5,TRNSCRPT;WAT-SC;ENSRNOG00000018145|PROT;HEART;NP_001004085.1|PROT;LUNG;NP_001004085.1|PROT;KIDNEY;XP_006233885.1|PROT;LIVER;XP_006233885.1,3,2,"PROT,TRNSCRPT",5,"HEART,KIDNEY,LIVER,LUNG,WAT-SC"
Jund,7,TRNSCRPT;SKM-GN;ENSRNOG00000019568|TRNSCRPT;HEART;ENSRNOG00000019568|TRNSCRPT;WAT-SC;ENSRNOG00000019568|PHOSPHO;LIVER;NP_620230.1_T117t|ATAC;LIVER;chr16:20483800-20484283|ATAC;KIDNEY;chr16:20485713-20486983|ATAC;LIVER;chr16:20485713-20486983,4,3,"ATAC,PHOSPHO,TRNSCRPT",5,"HEART,KIDNEY,LIVER,SKM-GN,WAT-SC"
Ech1,7,TRNSCRPT;SKM-GN;ENSRNOG00000020308|TRNSCRPT;HEART;ENSRNOG00000020308|TRNSCRPT;WAT-SC;ENSRNOG00000020308|PROT;SKM-GN;NP_072116.1|PROT;HEART;NP_072116.1|PROT;LUNG;NP_072116.1|PROT;LIVER;NP_072116.1,2,2,"PROT,TRNSCRPT",5,"HEART,LIVER,LUNG,SKM-GN,WAT-SC"
